pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Kas-1	Belm-12	Chr1	400001	450000	0.0	21	0	84	0
Tsu-1	Belm-12	Chr1	450001	500000	0.0	3	0	12	0
Kas-1	Roda-47	Chr1	450001	500000	0.0	3	0	12	0
Kas-1	Tsu-1	Chr1	450001	500000	0.0	3	0	12	0
Kas-1	Belm-12	Chr1	450001	500000	0.0	3	0	12	0
Tsu-1	Roda-47	Chr1	450001	500000	0.0	3	0	12	0
Belm-12	Roda-47	Chr1	450001	500000	0.0	3	0	12	0
Tsu-1	Roda-47	Chr1	500001	550000	0.0	7	0	28	0
Belm-12	Roda-47	Chr1	500001	550000	0.0	7	0	28	0
Kas-1	Belm-12	Chr1	500001	550000	0.0	7	0	28	0
Kas-1	Tsu-1	Chr1	500001	550000	0.0	7	0	28	0
Tsu-1	Belm-12	Chr1	500001	550000	0.0	7	0	28	0
Kas-1	Roda-47	Chr1	500001	550000	0.0	7	0	28	0
Tsu-1	Belm-12	Chr1	550001	600000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	550001	600000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	550001	600000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	550001	600000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	550001	600000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	550001	600000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	600001	650000	0.0	78	0	312	0
Tsu-1	Belm-12	Chr1	600001	650000	0.0	78	0	312	0
Kas-1	Tsu-1	Chr1	600001	650000	0.0	78	0	312	0
Kas-1	Belm-12	Chr1	600001	650000	0.0	78	0	312	0
Tsu-1	Roda-47	Chr1	600001	650000	0.0	78	0	312	0
Belm-12	Roda-47	Chr1	600001	650000	0.0	78	0	312	0
Tsu-1	Roda-47	Chr1	650001	700000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	650001	700000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	650001	700000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	650001	700000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	650001	700000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	650001	700000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	700001	750000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	700001	750000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	700001	750000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	700001	750000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	700001	750000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	700001	750000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	750001	800000	0.0	6	0	24	0
Kas-1	Tsu-1	Chr1	750001	800000	0.0	6	0	24	0
Kas-1	Roda-47	Chr1	750001	800000	0.0	6	0	24	0
Tsu-1	Belm-12	Chr1	750001	800000	0.0	6	0	24	0
Belm-12	Roda-47	Chr1	750001	800000	0.0	6	0	24	0
Tsu-1	Roda-47	Chr1	750001	800000	0.0	6	0	24	0
Kas-1	Roda-47	Chr1	800001	850000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	800001	850000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	800001	850000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	800001	850000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	800001	850000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	800001	850000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	850001	900000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	850001	900000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	850001	900000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	850001	900000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	850001	900000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	850001	900000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	900001	950000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	900001	950000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	900001	950000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	900001	950000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	900001	950000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	900001	950000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	950001	1000000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	950001	1000000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	950001	1000000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	950001	1000000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	950001	1000000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	950001	1000000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1000001	1050000	0.0	4	0	16	0
Kas-1	Roda-47	Chr1	1000001	1050000	0.0	4	0	16	0
Kas-1	Belm-12	Chr1	1000001	1050000	0.0	4	0	16	0
Kas-1	Tsu-1	Chr1	1000001	1050000	0.0	4	0	16	0
Tsu-1	Roda-47	Chr1	1000001	1050000	0.0	4	0	16	0
Belm-12	Roda-47	Chr1	1000001	1050000	0.0	4	0	16	0
Tsu-1	Roda-47	Chr1	1050001	1100000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1050001	1100000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1050001	1100000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1050001	1100000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1050001	1100000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1050001	1100000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1100001	1150000	0.0	1	0	4	0
Belm-12	Roda-47	Chr1	1100001	1150000	0.0	1	0	4	0
Kas-1	Roda-47	Chr1	1100001	1150000	0.0	1	0	4	0
Tsu-1	Belm-12	Chr1	1100001	1150000	0.0	1	0	4	0
Tsu-1	Roda-47	Chr1	1100001	1150000	0.0	1	0	4	0
Kas-1	Belm-12	Chr1	1100001	1150000	0.0	1	0	4	0
Tsu-1	Belm-12	Chr1	1150001	1200000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1150001	1200000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1150001	1200000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1150001	1200000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1150001	1200000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1150001	1200000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1200001	1250000	0.0	1	0	4	0
Belm-12	Roda-47	Chr1	1200001	1250000	0.0	1	0	4	0
Tsu-1	Belm-12	Chr1	1200001	1250000	0.0	1	0	4	0
Kas-1	Roda-47	Chr1	1200001	1250000	0.0	1	0	4	0
Kas-1	Belm-12	Chr1	1200001	1250000	0.0	1	0	4	0
Kas-1	Tsu-1	Chr1	1200001	1250000	0.0	1	0	4	0
Belm-12	Roda-47	Chr1	1250001	1300000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1250001	1300000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1250001	1300000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1250001	1300000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1250001	1300000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1250001	1300000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1300001	1350000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1300001	1350000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1300001	1350000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1300001	1350000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1300001	1350000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1300001	1350000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1350001	1400000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1350001	1400000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1350001	1400000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1350001	1400000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1350001	1400000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1350001	1400000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1400001	1450000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1400001	1450000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1400001	1450000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1400001	1450000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1400001	1450000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1400001	1450000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1450001	1500000	0.0	89	0	356	0
Kas-1	Belm-12	Chr1	1450001	1500000	0.0	89	0	356	0
Tsu-1	Belm-12	Chr1	1450001	1500000	0.0	89	0	356	0
Kas-1	Roda-47	Chr1	1450001	1500000	0.0	89	0	356	0
Belm-12	Roda-47	Chr1	1450001	1500000	0.0	89	0	356	0
Tsu-1	Roda-47	Chr1	1450001	1500000	0.0	89	0	356	0
Tsu-1	Roda-47	Chr1	1500001	1550000	0.0	39	0	156	0
Belm-12	Roda-47	Chr1	1500001	1550000	0.0	39	0	156	0
Kas-1	Tsu-1	Chr1	1500001	1550000	0.0	39	0	156	0
Kas-1	Belm-12	Chr1	1500001	1550000	0.0	39	0	156	0
Kas-1	Roda-47	Chr1	1500001	1550000	0.0	39	0	156	0
Tsu-1	Belm-12	Chr1	1500001	1550000	0.0	39	0	156	0
Tsu-1	Roda-47	Chr1	1550001	1600000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1550001	1600000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1550001	1600000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1550001	1600000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1550001	1600000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1550001	1600000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1600001	1650000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1600001	1650000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1600001	1650000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1600001	1650000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1600001	1650000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1600001	1650000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1650001	1700000	0.0	7	0	28	0
Belm-12	Roda-47	Chr1	1650001	1700000	0.0	7	0	28	0
Tsu-1	Belm-12	Chr1	1650001	1700000	0.0	7	0	28	0
Kas-1	Roda-47	Chr1	1650001	1700000	0.0	7	0	28	0
Kas-1	Belm-12	Chr1	1650001	1700000	0.0	7	0	28	0
Kas-1	Tsu-1	Chr1	1650001	1700000	0.0	7	0	28	0
Kas-1	Tsu-1	Chr1	1700001	1750000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1700001	1750000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1700001	1750000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1700001	1750000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1700001	1750000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1700001	1750000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1750001	1800000	0.0	4	0	16	0
Kas-1	Belm-12	Chr1	1750001	1800000	0.0	4	0	16	0
Tsu-1	Belm-12	Chr1	1750001	1800000	0.0	4	0	16	0
Kas-1	Roda-47	Chr1	1750001	1800000	0.0	4	0	16	0
Belm-12	Roda-47	Chr1	1750001	1800000	0.0	4	0	16	0
Tsu-1	Roda-47	Chr1	1750001	1800000	0.0	4	0	16	0
Belm-12	Roda-47	Chr1	1800001	1850000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1800001	1850000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1800001	1850000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	1800001	1850000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1800001	1850000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1800001	1850000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1850001	1900000	0.0	3	0	12	0
Tsu-1	Roda-47	Chr1	1850001	1900000	0.0	3	0	12	0
Kas-1	Roda-47	Chr1	1850001	1900000	0.0	3	0	12	0
Tsu-1	Belm-12	Chr1	1850001	1900000	0.0	3	0	12	0
Kas-1	Belm-12	Chr1	1850001	1900000	0.0	3	0	12	0
Kas-1	Tsu-1	Chr1	1850001	1900000	0.0	3	0	12	0
Kas-1	Belm-12	Chr1	1900001	1950000	0.0	2	0	8	0
Kas-1	Tsu-1	Chr1	1900001	1950000	0.0	2	0	8	0
Belm-12	Roda-47	Chr1	1900001	1950000	0.0	2	0	8	0
Tsu-1	Roda-47	Chr1	1900001	1950000	0.0	2	0	8	0
Kas-1	Roda-47	Chr1	1900001	1950000	0.0	2	0	8	0
Tsu-1	Belm-12	Chr1	1900001	1950000	0.0	2	0	8	0
Kas-1	Roda-47	Chr1	1950001	2000000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	1950001	2000000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	1950001	2000000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	1950001	2000000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	1950001	2000000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	1950001	2000000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2000001	2050000	0.0	1	0	4	0
Kas-1	Tsu-1	Chr1	2000001	2050000	0.0	1	0	4	0
Kas-1	Roda-47	Chr1	2000001	2050000	0.0	1	0	4	0
Tsu-1	Belm-12	Chr1	2000001	2050000	0.0	1	0	4	0
Tsu-1	Roda-47	Chr1	2000001	2050000	0.0	1	0	4	0
Belm-12	Roda-47	Chr1	2000001	2050000	0.0	1	0	4	0
Tsu-1	Roda-47	Chr1	2050001	2100000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2050001	2100000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2050001	2100000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2050001	2100000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2050001	2100000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2050001	2100000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2100001	2150000	0.0	2	0	8	0
Tsu-1	Belm-12	Chr1	2100001	2150000	0.0	2	0	8	0
Kas-1	Belm-12	Chr1	2100001	2150000	0.0	2	0	8	0
Kas-1	Tsu-1	Chr1	2100001	2150000	0.0	2	0	8	0
Belm-12	Roda-47	Chr1	2100001	2150000	0.0	2	0	8	0
Tsu-1	Roda-47	Chr1	2100001	2150000	0.0	2	0	8	0
Tsu-1	Belm-12	Chr1	2150001	2200000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2150001	2200000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2150001	2200000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2150001	2200000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2150001	2200000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2150001	2200000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2200001	2250000	0.0	1	0	4	0
Tsu-1	Roda-47	Chr1	2200001	2250000	0.0	1	0	4	0
Kas-1	Roda-47	Chr1	2200001	2250000	0.0	1	0	4	0
Tsu-1	Belm-12	Chr1	2200001	2250000	0.0	1	0	4	0
Kas-1	Tsu-1	Chr1	2200001	2250000	0.0	1	0	4	0
Kas-1	Belm-12	Chr1	2200001	2250000	0.0	1	0	4	0
Belm-12	Roda-47	Chr1	2250001	2300000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2250001	2300000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2250001	2300000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2250001	2300000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2250001	2300000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2250001	2300000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2300001	2350000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2300001	2350000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2300001	2350000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2300001	2350000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2300001	2350000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2300001	2350000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2350001	2400000	0.0	17	0	68	0
Kas-1	Tsu-1	Chr1	2350001	2400000	0.0	17	0	68	0
Tsu-1	Belm-12	Chr1	2350001	2400000	0.0	17	0	68	0
Kas-1	Roda-47	Chr1	2350001	2400000	0.0	17	0	68	0
Belm-12	Roda-47	Chr1	2350001	2400000	0.0	17	0	68	0
Tsu-1	Roda-47	Chr1	2350001	2400000	0.0	17	0	68	0
Kas-1	Tsu-1	Chr1	2400001	2450000	0.0	10	0	40	0
Kas-1	Belm-12	Chr1	2400001	2450000	0.0	10	0	40	0
Tsu-1	Belm-12	Chr1	2400001	2450000	0.0	10	0	40	0
Kas-1	Roda-47	Chr1	2400001	2450000	0.0	10	0	40	0
Tsu-1	Roda-47	Chr1	2400001	2450000	0.0	10	0	40	0
Belm-12	Roda-47	Chr1	2400001	2450000	0.0	10	0	40	0
Kas-1	Roda-47	Chr1	2450001	2500000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2450001	2500000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2450001	2500000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2450001	2500000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2450001	2500000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2450001	2500000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2500001	2550000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2500001	2550000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2500001	2550000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2500001	2550000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2500001	2550000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2500001	2550000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2550001	2600000	0.0	1	0	4	0
Kas-1	Tsu-1	Chr1	2550001	2600000	0.0	1	0	4	0
Belm-12	Roda-47	Chr1	2550001	2600000	0.0	1	0	4	0
Tsu-1	Roda-47	Chr1	2550001	2600000	0.0	1	0	4	0
Tsu-1	Belm-12	Chr1	2550001	2600000	0.0	1	0	4	0
Kas-1	Roda-47	Chr1	2550001	2600000	0.0	1	0	4	0
Tsu-1	Belm-12	Chr1	2600001	2650000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2600001	2650000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2600001	2650000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2600001	2650000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2600001	2650000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2600001	2650000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2650001	2700000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2650001	2700000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2650001	2700000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2650001	2700000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2650001	2700000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2650001	2700000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2700001	2750000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2700001	2750000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2700001	2750000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2700001	2750000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2700001	2750000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2700001	2750000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2750001	2800000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2750001	2800000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2750001	2800000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2750001	2800000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2750001	2800000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2750001	2800000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2800001	2850000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2800001	2850000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2800001	2850000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2800001	2850000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2800001	2850000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2800001	2850000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2850001	2900000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2850001	2900000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2850001	2900000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2850001	2900000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2850001	2900000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2850001	2900000	NA	0	NA	NA	NA
Kas-1	Belm-12	Chr1	2900001	2950000	NA	0	NA	NA	NA
Kas-1	Tsu-1	Chr1	2900001	2950000	NA	0	NA	NA	NA
Tsu-1	Belm-12	Chr1	2900001	2950000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	2900001	2950000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	2900001	2950000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2900001	2950000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	2950001	3000000	0.0	3	0	12	0
Belm-12	Roda-47	Chr1	2950001	3000000	0.0	3	0	12	0
Kas-1	Roda-47	Chr1	2950001	3000000	0.0	3	0	12	0
Tsu-1	Belm-12	Chr1	2950001	3000000	0.0	3	0	12	0
Kas-1	Tsu-1	Chr1	2950001	3000000	0.0	3	0	12	0
Kas-1	Belm-12	Chr1	2950001	3000000	0.0	3	0	12	0
Tsu-1	Belm-12	Chr1	3000001	3050000	NA	0	NA	NA	NA
Kas-1	Roda-47	Chr1	3000001	3050000	NA	0	NA	NA	NA
Tsu-1	Roda-47	Chr1	3000001	3050000	NA	0	NA	NA	NA
Belm-12	Roda-47	Chr1	3000001	3050000	NA	0	NA	NA	NA
