ril,lsm_ov_num,std_error,mean_ov_num
96949,43.224276,2.5040799,47.6667
96950,43.099338,2.4991897,46.6667
96951,48.031154,2.5109719,53.3333
96952,43.613736,2.5294376,45.8333
96953,41.016331,2.5119308,46.2222
96954,37.304811,2.5054946,42
96955,48.427931,2.5381943,49.8333
96956,44.79233,2.5701118,45.8333
96957,46.791098,2.507564,51.8333
96958,46.535719,2.5132472,52.1111
96959,43.16492,2.5077773,48.1667
96960,48.328286,2.505973,53
96961,44.536353,2.6469529,44
96962,46.339893,2.5310601,48.6667
96963,48.384914,2.716082,47
96964,50.911907,2.5452728,50
96965,44.656876,2.5092549,48.1667
96966,54.190717,2.5543498,51.1667
96967,56.367081,2.5758351,55.3333
96968,47.850254,2.5364771,49.6667
96969,43.421511,2.5099741,48
96970,38.913437,2.5419274,41
96971,49.306403,2.5120909,54.7222
96972,50.524462,2.6512031,47.5
96973,50.684781,2.6102096,50.8333
96974,43.75007,2.5137304,49.1111
96975,48.901868,2.5186926,47.3333
96976,37.321792,2.5198585,38.6667
96977,47.140859,2.510191,52.2222
96978,48.278412,2.5101498,53.2778
96979,42.813119,2.5881267,42.5
96980,44.16666,2.5289919,46.8333
96981,49.098515,2.6512479,48.8333
96982,50.283125,2.5086498,55.4444
96983,47.692313,2.5028947,47.3333
96984,41.58874,2.4983088,45.3333
96985,47.032912,2.5069844,51.7778
96986,48.099985,2.5082106,53
96987,44.868281,2.5094359,50
96988,44.389992,2.5151395,47.5
96989,41.988777,2.5025088,44.5
96990,59.417388,2.6536661,56.1667
96991,43.768925,2.5175829,49.3889
96992,45.987301,2.5145567,49
96993,40.724859,2.5510428,42.1667
96994,40.761399,2.5267697,42.8333
96995,44.155682,2.50938,49.3333
96996,48.92594,2.5210346,48.8333
96997,48.246424,2.5114683,53.6667
96998,37.898795,2.5162262,43.7222
96999,38.256193,2.5171487,40.6667
97000,44.169433,2.5236536,43
97001,48.798011,2.5551781,50.1667
97002,47.754392,2.5381773,50.5
97003,42.401438,2.5051426,47
97004,43.886372,2.5601296,45.5
97005,37.683704,2.5081142,41.3333
97006,36.645461,2.509706,39.6667
97007,46.516932,2.4989442,49.1667
97008,39.618004,2.5137922,42.3333
97009,44.24012,2.5795744,45.8333
97010,43.631236,2.5103624,48.6667
97011,40.577753,2.5085931,43.6667
97012,43.518192,2.4954161,45.5
97013,49.323611,2.5148454,51.5
97014,43.45044,2.5880689,44.6667
97015,42.74534,2.5199183,43.8333
97016,39.722953,2.5328921,41.8333
97017,47.062633,2.5517889,46
97018,51.691785,2.5130576,54.5
97019,45.20436,2.5380244,44.5
97020,47.07923,2.5084461,52
97021,43.786102,2.5500179,45.1667
97022,42.128499,2.4920642,43.6667
97023,47.359097,2.4983836,50.1667
97024,46.745288,2.5054264,48
97025,46.483565,2.5150783,52.0556
